title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
Senior UX/UI Designer,Ruska 37/38,Wrocław,PL,"Ruska 37/38, Wrocław",ux,remote,adCookie,https://adcookie.pl/,40,senior,51.1108,17.023667,2021-12-13 09:12:00+00:00,True,adcookie-senior-ux-ui-designer-wroclaw,"[{'type': 'b2b', 'salary': {'from': 9500, 'to': 12800, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/1f25005fc766b81a896f2b3c57fd8ae7777a0ba4.png?1637229139,"[{'name': 'MIRO', 'level': 4}, {'name': 'Adobe XD', 'level': 4}, {'name': 'Figma', 'level': 4}]",True
Front-end Developer R&D Machine Control,"Al.Piłsudskiego 3, 90-368",Łódź,PL,"Al.Piłsudskiego 3, 90-368, Łódź",javascript,partly_remote,Hexagon | Intergraph Polska Sp. z o.o.,https://hexagon.com/,>20 000,mid,51.7590112,19.459287,2021-12-13 09:11:00+00:00,True,hexagon-intergraph-polska-sp-z-o-o-frontend-developer-m-f-o,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/4de59b24c173d73025de8b54dcb12c04984e1af1.jpg?1623681543,"[{'name': 'CSS3', 'level': 3}, {'name': 'HTML5', 'level': 3}, {'name': 'JS ES6', 'level': 3}]",False
Python Programmer,Inflancka 4,Warszawa,PL,"Inflancka 4, Warszawa",python,remote,Rentals United,https://rentalsunited.com/,90+,mid,52.256079,20.9950057,2021-12-13 08:18:00+00:00,True,rentals-united-python-programmer,"[{'type': 'b2b', 'salary': {'from': 12600, 'to': 21504, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/7919e3476cc5638adba7a32da7b8bd04f0c2e05e.png?1636990364,"[{'name': 'Python', 'level': 4}, {'name': 'Web Applications', 'level': 4}, {'name': 'Flask', 'level': 4}]",True
IT Support Manager,Gdański Business Center,Warszawa,PL,"Gdański Business Center, Warszawa",support,partly_remote,Rentals United,https://rentalsunited.com/,90+,mid,52.256079,20.9950057,2021-12-13 08:17:00+00:00,True,rentals-united-it-support-manager,"[{'type': 'b2b', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/462f832fb891393e1856658cb791797354596c32.png?1638196757,"[{'name': 'SQL', 'level': 2}, {'name': 'OKRs', 'level': 2}, {'name': 'Ticketing tools', 'level': 3}]",False
Python Programmer,Centrum,Kraków,PL,"Centrum, Kraków",python,remote,Rentals United,https://rentalsunited.com/,90+,mid,50.0761852,19.9587208,2021-12-13 08:17:00+00:00,True,rentals-united-python-programmer-krakow,"[{'type': 'b2b', 'salary': {'from': 12600, 'to': 21504, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/63fd5f4f9ce82d2193bc81d49640a53ad9aff8e4.png?1637854981,"[{'name': 'Python', 'level': 4}, {'name': 'Web Applications', 'level': 4}, {'name': 'Flask', 'level': 4}]",True
IT Support Specialist: API team,Gdański Business Center,Warszawa,PL,"Gdański Business Center, Warszawa",support,remote,Rentals United Sp. z o.o.,https://rentalsunited.com/,90+,mid,52.256079,20.9950057,2021-12-13 08:17:00+00:00,True,rentals-united-sp-z-o-o-it-support-specialist-api-team,"[{'type': 'b2b', 'salary': {'from': 6720, 'to': 10920, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/a57d957d216f6ea1d5e2a8fc5cd7312a64c7f812.png?1638180029,"[{'name': 'API', 'level': 2}, {'name': 'Bitbucket', 'level': 2}, {'name': 'SQL', 'level': 3}]",True
Python Programmer,Centrum,Wrocław,PL,"Centrum, Wrocław",python,remote,Rentals United,https://rentalsunited.com/,90+,mid,51.1106992,17.0323662,2021-12-13 08:16:00+00:00,True,rentals-united-python-programmer-wroclaw,"[{'type': 'b2b', 'salary': {'from': 12600, 'to': 21504, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/b0cf8ea5f57913ce570de07490e836b7488d2bc1.png?1637854986,"[{'name': 'Python', 'level': 4}, {'name': 'Web Applications', 'level': 4}, {'name': 'Flask', 'level': 4}]",True
Java / Backend Engineer to P&F,Łużycka,Gdynia,PL,"Łużycka, Gdynia",java,partly_remote,Nordea,http://www.nordea.pl,3000+,mid,54.4938314,18.5348903,2021-12-13 08:14:34.116000+00:00,False,nordea-java-backend-engineer-to-p-f,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/915a79331c2a22a171639b981b6929b787fe38df.png?1639383252,"[{'name': 'Agile', 'level': 3}, {'name': 'CI/CD', 'level': 3}, {'name': 'Java', 'level': 3}]",False
Expert Java / Backend Engineer,Łużycka,Gdynia,PL,"Łużycka, Gdynia",java,partly_remote,Nordea,http://www.nordea.pl,3000+,senior,54.4938314,18.5348903,2021-12-13 08:11:47.649000+00:00,False,nordea-expert-java-backend-engineer,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/7a52982c3a67294208a7f7b3b463db78f2221cfe.png?1639383076,"[{'name': 'Agile', 'level': 4}, {'name': 'Code Review', 'level': 4}, {'name': 'Java', 'level': 4}]",False
Lead Developer (REMOTE),Koszykowa,Warszawa,PL,"Koszykowa, Warszawa",java,remote,DevsData LLC,https://devsdata.com/,40,senior,52.2228577,21.007506,2021-12-13 08:09:34.151000+00:00,True,devsdata-llc-lead-developer-remote-b80d0760-6d55-4013-a954-cb4054e1db09,"[{'type': 'b2b', 'salary': {'from': 28000, 'to': 32500, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c41d6539816764ec40b8374b8a73481ebce4547e.png?1639382954,"[{'name': 'Java', 'level': 3}]",True
